Company Name,Ticker,Country,Industry,Year,Revenue,Revenue Unit,Net Income,Total Assets,Operating Cash Flow
Equinor ASA,EQNR,Norway,Oil & Gas Integrated,2023,106848000000.0,USD,11885000000.0,143580000000.0,24701000000.0
Equinor ASA,EQNR,Norway,Oil & Gas Integrated,2022,149004000000.0,USD,28746000000.0,158021000000.0,35136000000.0
"Essex Property Trust, Inc.",ESS,United States,REIT - Residential,2024,1774450000.0,USD,741522000.0,12927359000.0,1068305000.0
"Essex Property Trust, Inc.",ESS,United States,REIT - Residential,2023,1669395000.0,USD,405825000.0,12361427000.0,980064000.0
"Essex Property Trust, Inc.",ESS,United States,REIT - Residential,2022,1606814000.0,USD,408315000.0,12372905000.0,975649000.0
"Expedia Group, Inc.",EXPE,United States,Travel Services,2024,13691000000.0,USD,1234000000.0,22388000000.0,3085000000.0
"Expedia Group, Inc.",EXPE,United States,Travel Services,2023,12839000000.0,USD,797000000.0,21642000000.0,2690000000.0
"Expedia Group, Inc.",EXPE,United States,Travel Services,2022,11667000000.0,USD,352000000.0,21561000000.0,3440000000.0
FedEx Corporation,FDX,United States,Integrated Freight & Logistics,2025,87926000000.0,USD,4092000000.0,87627000000.0,7036000000.0
FedEx Corporation,FDX,United States,Integrated Freight & Logistics,2024,87693000000.0,USD,4331000000.0,87007000000.0,8312000000.0
FedEx Corporation,FDX,United States,Integrated Freight & Logistics,2023,90155000000.0,USD,3972000000.0,87143000000.0,8848000000.0
Federal Realty Investment Trust,FRT,United States,REIT - Retail,2024,1202452000.0,USD,295208000.0,8524757000.0,574563000.0
Federal Realty Investment Trust,FRT,United States,REIT - Retail,2023,1132154000.0,USD,236985000.0,8436512000.0,555830000.0
Federal Realty Investment Trust,FRT,United States,REIT - Retail,2022,1074378000.0,USD,385491000.0,8233991000.0,516769000.0
"Fiserv, Inc.",FI,United States,Information Technology Services,2024,20456000000.0,USD,3131000000.0,77176000000.0,6631000000.0
"Fiserv, Inc.",FI,United States,Information Technology Services,2023,19093000000.0,USD,3068000000.0,90890000000.0,5162000000.0
"Fiserv, Inc.",FI,United States,Information Technology Services,2022,17737000000.0,USD,2530000000.0,83869000000.0,4618000000.0
"Fortinet, Inc.",FTNT,United States,Software - Infrastructure,2024,5955800000.0,USD,1745200000.0,9763100000.0,2258100000.0
